"cycle","module","n_variables","median_pct_missing","q1_pct_missing","q3_pct_missing","variables_gt_10pct","variables_gt_50pct","variables_gt_90pct","variables_100pct"
"2013-2014","Demographic",46,1.1891891891891893,0,28.144963144963143,14,6,2,0
"2013-2014","Examination",223,48.78624078624079,11.891891891891891,76.64864864864865,214,111,41,1
"2013-2014","Labs",370,62.03439803439804,48.746928746928745,73.81818181818181,362,260,15,0
"2013-2014","Questionnaire",951,89.26781326781327,62.5061425061425,99.17936117936118,896,774,461,4
"2013-2014","Linked Mortality",12,40.96805896805897,40.04914004914005,55.26781326781327,11,3,3,0
